a,b,c
2,3,4
3,2,4
3,4,5
3,5,6
3,6,7
4,3,5
4,6,7
4,7,8
4,8,9
4,9,10
5,3,6
5,6,8
5,10,11
5,11,12
5,12,13
5,13,14
5,14,15
6,3,7
6,4,7
6,5,8
6,7,9
6,8,10
6,9,11
6,16,17
6,17,18
6,18,19
6,19,20
7,4,8
7,6,9
7,11,13
7,12,14
7,22,23
7,23,24
7,24,25
7,25,26
7,26,27
8,4,9
8,6,10
8,9,12
8,14,16
8,15,17
8,16,18
9,4,10
9,6,11
9,8,12
9,12,15
9,19,21
9,20,22
10,5,11
10,11,15
10,15,18
10,23,25
10,24,26
10,25,27
11,5,12
11,7,13
11,10,15
11,13,17
11,18,21
11,19,22
12,5,13
12,7,14
12,9,15
12,16,20
12,22,25
12,23,26
13,5,14
13,11,17
13,14,19
13,19,23
13,26,29
14,5,15
14,8,16
14,13,19
14,17,22
14,22,26
14,23,27
15,8,17
15,10,18
15,16,22
15,20,25
16,6,17
16,8,18
16,12,20
16,15,22
16,18,24
16,23,28
17,6,18
17,14,22
17,21,27
18,6,19
18,11,21
18,16,24
19,6,20
19,9,21
19,11,22
19,13,23
19,22,29
20,9,22
20,15,25
20,21,29
21,17,27
21,20,29
22,7,23
22,12,25
22,14,26
22,19,29
23,7,24
23,10,25
23,12,26
23,14,27
23,16,28
24,7,25
24,10,26
25,7,26
25,10,27
26,7,27
26,13,29
